init_query	rep_query	sys_num	sys_name
приказ об утверждении положения об оплате труда	Приказ об утверждении положения об оплате труда 	 2 	 Система Кадры
можно ли отозвать из отпуска по уходу за ребенком до 3-х лет	можно ли отозвать из отпуска по уходу за ребенком до 3-х лет 	 2 	 Система Кадры
право проезда работнику после 6 месяцев	Право проезда работнику после 6 месяцев 	 2 	 Система Кадры
больничный лист лимит оформления	больничный лист лимит оформления 	 2 	 Система Кадры
как вести суммированный учет рабочего времени	как вести суммированный учет рабочего времени 	 2 	 Система Кадры
в каких случаях имеем право запросить справку о судимости	в каких случаях имеем право запросить справку о судимости 	 3 	 Система Юрист
подсобный рабочий 4 разряд еткс	Подсобный рабочий 4 разряд ЕТКС 	 2 	 Система Кадры
дополнительный день отдыха при сдачи крови заявление	Дополнительный день отдыха при сдачи крови заявление 	 2 	 Система Кадры
перевод работника без согласия	Перевод работника без согласия 	 2 	 Система Кадры
оплата работы на время отсутствия основного работника	оплата работы на время отсутствия основного работника 	 2 	 Система Кадры
больничный признан необоснованно выданный	больничный признан необоснованно выданный 	 3 	 Система Юрист
сколько дней сотрудник может находится на больничном листе	Сколько дней сотрудник может находится на больничном листе 	 2 	 Система Кадры
отсутствие для прохождения мсэ	отсутствие для прохождения мсэ 	 6 	 Система Охрана труда
отпуск по уходу за ребенком без пособия ефс-1	отпуск по уходу за ребенком без пособия ефс-1 	 2 	 Система Кадры
заявление сотрудника на отпуск по уходу за ребенком до 1,5 лет без отпуска	заявление сотрудника на отпуск по уходу за ребенком до 1,5 лет без отпуска 	 2 	 Система Кадры
изменения пвтр в 2025 году	Вопрос: изменения пвтр в 2025 году 	 6 	 Система Охрана труда
первое рабочее место молодежь 20 лет, что нужно учитывать?	Вопрос: первое рабочее место молодежь 20 лет, что нужно учитывать? 	 2 	 Система Кадры
приказ о привлечении выходной день	Приказ о привлечении выходной день 	 2 	 Система Кадры
аннулирование разрешения на привлечение и использование иностранных работников, за исключением случаев, установленных федеральными законами или	Вопрос: аннулирование разрешения на привлечение и использование иностранных работников, за исключением случаев, установленных федеральными законами или 	 2 	 Система Кадры
калькулятор переноса отпусков	Вопрос: калькулятор переноса отпусков 	 2 	 Система Кадры
исправление приказа на отстранение	Исправление приказа на отстранение 	 2 	 Система Кадры
положение по кту	Вопрос: положение по кту 	 6 	 Система Охрана труда
должностная инструкция кладовщика	Вопрос: должностная инструкция кладовщика 	 2 	 Система Кадры
работница хочет выйти на работу на полную ставку находясь в отпуске по уходу за ребенком	Вопрос: работница хочет выйти на работу на полную ставку находясь в отпуске по уходу за ребенком 	 2 	 Система Кадры
должностная инструкция для токаря	Вопрос: должностная инструкция для токаря 	 14 	 Система Промбезопасность
командировка в выходной день	Командировка в выходной день 	 2 	 Система Кадры
доплата за ненормированный рабочий развод	Доплата за ненормированный рабочий развод 	 2 	 Система Кадры
обязательно ли устанавливать работнику инвалиду 2 группы 7-ми часовой рабочий день	Обязательно ли устанавливать работнику инвалиду 2 группы 7-ми часовой рабочий день 	 2 	 Система Кадры
количество дней на учебный отпуск	Количество дней на учебный отпуск 	 2 	 Система Кадры
передел пособия по уходу за ребенком в 2025 году	Вопрос: передел пособия по уходу за ребенком в 2025 году 	 2 	 Система Кадры
приказ об изменении графика работы и заработной платы	Приказ об изменении графика работы и заработной платы 	 2 	 Система Кадры
уведомление сотруднику на дачу объяснений за отсутствие на работе	уведомление сотруднику на дачу объяснений за отсутствие на работе 	 2 	 Система Кадры
сотрудник запросил копии документов	Вопрос: сотрудник запросил копии документов 	 2 	 Система Кадры
инженер-тополог 2 категории	Вопрос: инженер-тополог 2 категории 	 10 	 Система Управление многоквартирным домом
должностная инструкция инженера по подготовке производства	Вопрос: должностная инструкция инженера по подготовке производства 	 14 	 Система Промбезопасность
351.7 трудового кодекса рф	Вопрос: 351.7 трудового кодекса рф 	 2 	 Система Кадры
п. 13 ч. 1 ст. 83 тк,	п. 13 ч. 1 ст. 83 тк 	 2 	 Система Кадры
как оформить приказ о досрочном выходе из отпуска по уходу за ребенком	как оформить приказ о досрочном выходе из отпуска по уходу за ребенком 	 2 	 Система Кадры
письмо роструда от 08.04.2011 № 941-6-1	письмо роструда от 08.04.2011 № 941-6-1 	 2 	 Система Кадры
ст 76 тк	Вопрос: ст 76 тк 	 2 	 Система Кадры
увольнения	увольнения 	 2 	 Система Кадры
образец допсоглашение на временное исполнение обязанностей генерального директора	образец допсоглашение на временное исполнение обязанностей генерального директора 	 11 	 Система Генеральный директор
есть ли у работодателя обязанность принимать участников сво	Вопрос: есть ли у работодателя обязанность принимать участников срочной военной службы 	 2 	 Система Кадры
как уволить сотрудника, если отказывается подписывать приказ на увольнение	как уволить сотрудника, если отказывается подписывать приказ на увольнение 	 2 	 Система Кадры
аренда рабочих мест для инвалидов	аренда рабочих мест для инвалидов 	 2 	 Система Кадры
военкомат майского района кбр	Военкомат майского района кбр 	 2 	 Система Кадры
увольнение сотрудника по утрате доверия	увольнение сотрудника по утрате доверия 	 2 	 Система Кадры
временный прием	Вопрос: временный прием 	 2 	 Система Кадры
выплаты премии уволенным	выплаты премии уволенным 	 2 	 Система Кадры
заявление на замену периодов для больничного	заявление на замену периодов для больничного 	 2 	 Система Кадры
оценочные обязательства	Вопрос: оценочные обязательства 	 1 	 Система Бухгалтер
код 32	Вопрос: код 32 	 7 	 Система Образование
отчет назначение выплат по осс в ефс-1 о стаже	отчет назначение выплат по осс в ефс-1 о стаже 	 2 	 Система Кадры
что делать если необходимо прекратить прием сотрудников на работу	что делать если необходимо прекратить прием сотрудников на работу 	 2 	 Система Кадры
запись в трудовой книжке работа по совместительству стала основной	Запрос: запись в трудовой книжке работа по совместительству стала основной 	 2 	 Система Кадры
сотрудник не уведомил работодателя об отпуске в установленный срок	Сотрудник не уведомил работодателя об отпуске в установленный срок 	 2 	 Система Кадры
сверхурочная работа при разъездном характере работы	Сверхурочная работа при разъездном характере работы 	 2 	 Система Кадры
ведение воинского учета	ведение воинского учета 	 2 	 Система Кадры
должности, включенные в перечень должностей и спасателей	Вопрос: должности, включенные в перечень должностей и спасателей 	 6 	 Система Охрана труда
подсобный рабочий в справочнике	Вопрос: подсобный рабочий в справочнике 	 2 	 Система Кадры
увольнение по состоянию здоровья по собственному желанию	увольнение по состоянию здоровья по собственному желанию 	 2 	 Система Кадры
пункт в трудовом договоре без испытательного срока	пункт в трудовом договоре без испытательного срока 	 2 	 Система Кадры
как оформить обучение частично за счет работника с удержанием с зарплаты	как оформить обучение частично за счет работника с удержанием с зарплаты 	 2 	 Система Кадры
приказ по трудовым книжкам	Приказ по трудовым книжкам 	 2 	 Система Кадры
изменение фамилии в трудовой книжке после замужества	Изменение фамилии в трудовой книжке после замужества 	 2 	 Система Кадры
суточные относятся к компенсационным выплатам	Вопрос: суточные относятся к компенсационным выплатам 	 2 	 Система Кадры
сокращение женщины с малолетним ребенком	Вопрос: сокращение женщины с малолетним ребенком 	 2 	 Система Кадры
протокол комиссии на перевод работника на другую должность	протокол комиссии на перевод работника на другую должность 	 2 	 Система Кадры
пример hr-стратегии компании на 2025 год	пример hr-стратегии компании на 2025 год 	 2 	 Система Кадры
должностная инструкция	Вопрос: должностная инструкция 	 2 	 Система Кадры
сп 13	сп 13 	 13 	 Система Экология
работник получает за исполнение обязанностей отсутствующего но ничего не делает	Вопрос: работник получает за исполнение обязанностей отсутствующего но ничего не делает 	 2 	 Система Кадры
работа в выходной день свыше 8 часов	Работа в выходной день свыше 8 часов 	 2 	 Система Кадры
должен ли работник уведомление уфмс	Вопрос: должен ли работник уведомление уфмс 	 2 	 Система Кадры
как оформить пособие по уходу за ребенком отцу	как оформить пособие по уходу за ребенком отцу 	 2 	 Система Кадры
лист ознакомления с локальными нормативными актами при приеме на работу	Лист ознакомления с локальными нормативными актами при приеме на работу 	 2 	 Система Кадры
постановлением правительства российской федерации от 14 февраля 2003 № 101 о продолжительности рабочего времени медицинских работников в зависимости от занимаемой должности и (или) специальности	Вопрос: постановлением правительства российской федерации от 14 февраля 2003 № 101 о продолжительности рабочего времени медицинских работников в зависимости от занимаемой должности и (или) специальности 	 8 	 Система Медицина
объявление о вакансии при ограничениях на рекламу отрасли	Вопрос: объявление о вакансии при ограничениях на рекламу отрасли 	 2 	 Система Кадры
статья 11 закона 4520-1 в редакции 122-фз	Вопрос: статья 11 закона 4520-1 в редакции 122-фз 	 3 	 Система Юрист
освободить эвакуационные пути	освободить эвакуационные пути 	 6 	 Система Охрана труда
постановления правительства рф № 9 от 15.01.2007	постановления правительства рф № 9 от 15.01.2007 	 6 	 Система Охрана труда
вносится ли в трудовую книжку служба в мчс	вносится ли в трудовую книжку служба в мчс 	 2 	 Система Кадры
ненормированный рабочий день доп отпуск	ненормированный рабочий день доп отпуск 	 2 	 Система Кадры
приказ о повышении квалификации	Приказ о повышении квалификации 	 2 	 Система Кадры
сотрудник уведомил работодателя об отпуске менее чем за 3 дня	Система Кадры 	 2 	 Система Кадры
должностные инструкции	Вопрос: должностные инструкции 	 2 	 Система Кадры
уведомление декретной позиции по соглашению сторон	уведомление декретной позиции по соглашению сторон 	 2 	 Система Кадры
может ли работодатель отказать в донорских днях	может ли работодатель отказать в донорских днях 	 2 	 Система Кадры
работа в организации по внешнему совместительству на двух должностях	Работа в организации по внешнему совместительству на двух должностях 	 2 	 Система Кадры
сверхурочная работа при суммированном учете рабочего времени по новым правилам	Сверхурочная работа при суммированном учете рабочего времени по новым правилам 	 2 	 Система Кадры
согласие на использование изображения сотрудника	Система Кадры 	 2 	 Система Кадры
льготы ветеранам сво	Вопрос: льготы ветеранам сво 	 2 	 Система Кадры
согласие на обработку персональных данных без цели обработки	согласие на обработку персональных данных без цели обработки 	 3 	 Система Юрист
письмо минтруда от 05.06.2024	письмо минтруда от 05.06.2024 	 2 	 Система Кадры
конструктор пвтр 2025	Вопрос: конструктор пвтр 2025 	 5 	 Система Госзаказ
уведомление о предстоящем увольнении в связи с неудовлетворительным результатом испытания	уведомление о предстоящем увольнении в связи с неудовлетворительным результатом испытания 	 2 	 Система Кадры
как оформить ежегодный отпуск?	как оформить ежегодный отпуск? 	 2 	 Система Кадры
обезличенные персональные данные	Вопрос: обезличенные персональные данные 	 2 	 Система Кадры
изменения лна в 2025	Изменения ЛНА в 2025 	 2 	 Система Кадры
что считается сверхурочной работой при вахтовом методе	что считается сверхурочной работой при вахтовом методе 	 2 	 Система Кадры
до момента увольнения за сотрудниками, которых сокращают, но они находятся на больничном, сохраняют место работы, поэтому штатное расписание в эти периоды должно предусматривать должности, которые	Вопрос: до момента увольнения за сотрудниками, которых сокращают, но они находятся на больничном, сохраняют место работы, поэтому штатное расписание в эти периоды должно предусматривать должности, которые 	 2 	 Система Кадры
заявление об увольнении ранее намеченного срока по сокращению численности	заявление об увольнении ранее намеченного срока по сокращению численности 	 2 	 Система Кадры
расторжение тд с совместителем	расторжение тд с совместителем 	 2 	 Система Кадры
изменения в лна	Изменения в ЛНА 	 2 	 Система Кадры
образец записи о награждении	Вопрос: образец записи о награждении 	 3 	 Система Юрист
указ президента № 925	Вопрос: указ президента № 925 	 3 	 Система Юрист
дубликат на основании копии трудовой книжки	Вопрос: дубликат на основании копии трудовой книжки 	 2 	 Система Кадры
если совпадает праздничный выходной при скользящем графике нужно ли согласие работника	если совпадает праздничный выходной при скользящем графике нужно ли согласие работника 	 2 	 Система Кадры
кого можно привлечь к работе в выходные дни	Кого можно привлечь к работе в выходные дни 	 2 	 Система Кадры
отпуск по уходу за ребенком до 1.5 лет на один день	отпуск по уходу за ребенком до 1.5 лет на один день 	 2 	 Система Кадры
конфликт интересов	конфликт интересов 	 3 	 Система Юрист
максимальный срок командировки	Вопрос: максимальный срок командировки 	 2 	 Система Кадры
срок хранения приказов по премии	Вопрос: срок хранения приказов по премии 	 2 	 Система Кадры
первичка в бухгалтерии	Вопрос: первичка в бухгалтерии 	 1 	 Система Бухгалтер
срок оформления акта по гит	Вопрос: срок оформления акта по гит 	 6 	 Система Охрана труда
входит ли учебный отпуск в стаж для расчета основного отпуска	Вопрос: входит ли учебный отпуск в стаж для расчета основного отпуска 	 2 	 Система Кадры
можно переименовать декретную должность в период отпуска по уходу за ребенком	можно переименовать декретную должность в период отпуска по уходу за ребенком 	 2 	 Система Кадры
как оформить направление сотрудника на краткосрочный семинар в другой город	как оформить направление сотрудника на краткосрочный семинар в другой город 	 2 	 Система Кадры
как сохранить место работы на время больничного в штатном расписании	Как сохранить место работы на время больничного в штатном расписании 	 2 	 Система Кадры
регламент проведения совещаний	Вопрос: регламент проведения совещаний 	 11 	 Система Генеральный директор
13.01.2005 электромонтер фгос	Вопрос: 13.01.2005 электромонтер фгос 	 14 	 Система Промбезопасность
может ли работодатель отклонить заявление на отпуск тк заявление написано менее чем за 3 дня до его начала	может ли работодатель отклонить заявление на отпуск тк заявление написано менее чем за 3 дня до его начала 	 2 	 Система Кадры
налоговый вычет для матери-одиночки	Налоговый вычет для матери-одиночки 	 1 	 Система Бухгалтер
инженер-энергетик (энергетик)	Вопрос: инженер-энергетик (энергетик) 	 14 	 Система Промбезопасность
отмена дистанционной работы	Отмена дистанционной работы 	 2 	 Система Кадры
как временный перевод сделать постоянным	как временный перевод сделать постоянным 	 2 	 Система Кадры
ученический договор с сотрудником с отрывом от работы	Ученический договор с сотрудником с отрывом от работы 	 2 	 Система Кадры
кадровое делопроизводство здравоохранение	кадровое делопроизводство здравоохранение 	 8 	 Система Медицина
образец дополнительного соглашения на переход на неполный рабочий день	Вопрос: образец дополнительного соглашения на переход на неполный рабочий день 	 2 	 Система Кадры
гарантии инвалидам	гарантии инвалидам 	 2 	 Система Кадры
как изменяются лимиты на отпуск по уходу за ребенком	как изменяются лимиты на отпуск по уходу за ребенком 	 2 	 Система Кадры
нет инн	нет инн 	 1 	 Система Бухгалтер
отпуск по уходу без пособия	отпуск по уходу без пособия 	 2 	 Система Кадры
журнад для выдачи трудовой книжки на руки	журнад для выдачи трудовой книжки на руки 	 2 	 Система Кадры
когда уволить совместителя если открыт больничный по беременности и родам	Система Кадры 	 2 	 Система Кадры
сумма оплаты за наставничество	сумма оплаты за наставничество 	 2 	 Система Кадры
как оформить декретный отпуск на бабушку	как оформить декретный отпуск на бабушку 	 2 	 Система Кадры
бланк формы п-4 с 01.02.2025	бланк формы п-4 с 01.02.2025 	 2 	 Система Кадры
сотрудник-иностранец не предоставил информацию о внесении авансового налогового платежа	сотрудник-иностранец не предоставил информацию о внесении авансового налогового платежа 	 1 	 Система Бухгалтер
окз код сервис	Вопрос: окз код сервис 	 5 	 Система Госзаказ
кто входит в категорию гос служащих	Кто входит в категорию гос служащих 	 15 	 Система Госфинансы
приказ о введении новых обозначений	Приказ о введении новых обозначений 	 2 	 Система Кадры
заявление на отпуск по уходу за ребенком-инвалидом	заявление на отпуск по уходу за ребенком-инвалидом 	 2 	 Система Кадры
уведомление о заключении договора с иностранным гражданином	уведомление о заключении договора с иностранным гражданином 	 3 	 Система Юрист
экономика труда - это	экономика труда - это 	 2 	 Система Кадры
уведомить о приеме ефс-1	уведомить о приеме ефс-1 	 2 	 Система Кадры
уведомление из-за смены организационных или технологических условий труда трудового договора	уведомление из-за смены организационных или технологических условий труда трудового договора 	 2 	 Система Кадры
увольнение работника, находящегося в отпуске	увольнение работника, находящегося в отпуске 	 2 	 Система Кадры
налоговый вычет на ребенка	Налоговый вычет на ребенка 	 1 	 Система Бухгалтер
приказ о назначении ответственного за ведение табеля учета рабочего времени	Приказ о назначении ответственного за ведение табеля учета рабочего времени 	 2 	 Система Кадры
первый заместитель генерального директора должностная инструкция	первый заместитель генерального директора должностная инструкция 	 11 	 Система Генеральный директор
стаж для сотрудников с вредными условиями труда что исключается при выходе на пенсию	Стаж для сотрудников с вредными условиями труда что исключается при выходе на пенсию 	 6 	 Система Охрана труда
как можно выбрать ведение электронной книжки если нигде не работаешь	как можно выбрать ведение электронной книжки если нигде не работаешь 	 2 	 Система Кадры
бронирование граждан по воинскому учету	бронирование граждан по воинскому учету 	 2 	 Система Кадры
режим работы по утвержденному графику	Режим работы по утвержденному графику 	 2 	 Система Кадры
районные коэффициенты бакчарского района	Вопрос: районные коэффициенты бакчарского района 	 2 	 Система Кадры
пвтр	Вопрос: пвтр 	 1 	 Система Бухгалтер
постоянную занятость телефониста междугородной телефонной связи	Вопрос: постоянную занятость телефониста междугородной телефонной связи 	 2 	 Система Кадры
185.1 тк рф	Вопрос: 185.1 тк рф 	 2 	 Система Кадры
должен ли оплачиваться дополнительный день отдыха за работу в выходные и нерабочие праздничные дни	должен ли оплачиваться дополнительный день отдыха за работу в выходные и нерабочие праздничные дни 	 2 	 Система Кадры
как предложить вакансии при сокращении	как предложить вакансии при сокращении 	 2 	 Система Кадры
образец приказа о гибридном графике работы	образец приказа о гибридном графике работы 	 2 	 Система Кадры
в каких случаях нельзя заключить срочный трудовой договор	в каких случаях нельзя заключить срочный трудовой договор 	 2 	 Система Кадры
в каких случаях возможно компенсировать отпуск	в каких случаях возможно компенсировать отпуск 	 2 	 Система Кадры
служебная записка о переводе работника на другой график работы	Служебная записка о переводе работника на другой график работы 	 2 	 Система Кадры
премирование работников с 23 февраля	премирование работников с 23 февраля 	 2 	 Система Кадры
чек-листы для работы с иностранными сотрудниками	Чек-листы для работы с иностранными сотрудниками 	 2 	 Система Кадры
длительность обеденного перерыва	длительность обеденного перерыва 	 2 	 Система Кадры
нужно ли подавать отчет ефс-1 при переводе на неполный рабочий день?	нужно ли подавать отчет ефс-1 при переводе на неполный рабочий день? 	 2 	 Система Кадры
3 статьи 11 федерального закона от 01.04.1996 № 27-фз 1	3 статьи 11 федерального закона от 01.04.1996 № 27-фз 	 3 	 Система Юрист
приказ прием на 0,5 ставки студента	Приказ прием на 0,5 ставки студента 	 2 	 Система Кадры
отстранение в выходную вахту как будет отражаться в табеле	Отстранение в выходную вахту как будет отражаться в табеле 	 2 	 Система Кадры
ефс-1 временный перевод	ефс-1 временный перевод 	 2 	 Система Кадры
сложные места работы с электронным больничным: как не повторить ошибки коллег	Сложные места работы с электронным больничным: как не повторить ошибки коллег 	 8 	 Система Медицина
работа с китаем	Вопрос: работа с китаем 	 11 	 Система Генеральный директор
нужно ли при индексации оклада / тарифа составлять дополнительное соглашение, если в трудовом договоре прописано, за выполнение обязанностей, предусмотренных трудовым договором работнику, выплачивается	нужно ли при индексации оклада / тарифа составлять дополнительное соглашение, если в трудовом договоре прописано, за выполнение обязанностей, предусмотренных трудовым договором работнику, выплачивается 	 2 	 Система Кадры
образец закрепления транспортного средства	Вопрос: образец закрепления транспортного средства 	 3 	 Система Юрист
в день увольнения по сокращению	в день увольнения по сокращению 	 2 	 Система Кадры
молдова прием	молдова прием 	 2 	 Система Кадры
продолжение учебного отпуска в колледже	Продолжение учебного отпуска в колледже 	 7 	 Система Образование
получает пособия по уходу женщина после увольнения	Получает пособия по уходу женщина после увольнения 	 2 	 Система Кадры
можно ли 2 акта о нарушении на одного и того же сотрудника првести одним приказом	Вопрос: можно ли 2 акта о нарушении на одного и того же сотрудника провести одним приказом 	 2 	 Система Кадры
решение государственной думы челябинской области № 20/11 от 29.06.2021	Решение государственной думы челябинской области № 20/11 от 29.06.2021 	 15 	 Система Госфинансы
перенос графика работы в связи с отпуском вахтовика	перенос графика работы в связи с отпуском вахтовика 	 2 	 Система Кадры
работник должен дать пояснения но уходит в отпуск	работник должен дать пояснения но уходит в отпуск 	 2 	 Система Кадры
режим труда и отдыха при сменном графике	Режим труда и отдыха при сменном графике 	 2 	 Система Кадры
все об работе сверхурочной	вопрос: все об работе сверхурочной 	 2 	 Система Кадры
иностранные граждане	Вопрос: иностранные граждане 	 2 	 Система Кадры
образец порядка проведения обучения по охране труда в организации	образец порядка проведения обучения по охране труда в организации 	 6 	 Система Охрана труда
