init_query	rep_query	sys_num	sys_name
нужно ли сотрудникам компании в случае их организации мероприятия в виде олимпиады на территории учебного заведения проходить медосмотр и оформлять медицинские книжки?	нужно ли сотрудникам компании в случае их организации мероприятия в виде олимпиады на территории учебного заведения проходить медосмотр и оформлять медицинские книжки? 	 8 	 Система Медицина
образец оферты	Вопрос: образец оферты 	 3 	 Система Юрист
12-489/2018	Вопрос: 12-489/2018 	 3 	 Система Юрист
согласие обладателя на передачу информации третьим лицам	Согласие обладателя на передачу информации третьим лицам 	 3 	 Система Юрист
приказ министерства транспорта № 128 от 16.04.2024	Вопрос: приказ министерства транспорта № 128 от 16.04.2024 	 3 	 Система Юрист
договор залога движимого имущества	договор залога движимого имущества 	 3 	 Система Юрист
отчет 1-пи	отчет 1-пи 	 1 	 Система Бухгалтер
как направить уведомление	как направить уведомление 	 3 	 Система Юрист
арендатор отозвал уведомление о расторжении остается ли право на отказ	Арендатор отозвал уведомление о расторжении остается ли право на отказ 	 3 	 Система Юрист
ходатайство о принятии меры по обеспечению исполнения исполнительного документа	ходатайство о принятии меры по обеспечению исполнения исполнительного документа 	 3 	 Система Юрист
гражданский кодекс 456	гражданский кодекс 456 	 3 	 Система Юрист
постановление четвертого арбитражного апелляционного суда от 15.12.2022 № 04ап-5830/2022, а19-14992/2022	постановление четвертого арбитражного апелляционного суда от 15.12.2022 № 04ап-5830/2022, а19-14992/2022 	 3 	 Система Юрист
порядок общения с ребенком	Вопрос: порядок общения с ребенком 	 7 	 Система Образование
договор на размещение рекламы с блогером	договор на размещение рекламы с блогером 	 3 	 Система Юрист
акт передачи комнаты в гостинице	акт передачи комнаты в гостинице 	 11 	 Система Генеральный директор
постановление правительства от 23.12.2024 № 1875	постановление правительства от 23.12.2024 № 1875 	 5 	 Система Госзаказ
договор простого товарищества	договор простого товарищества 	 3 	 Система Юрист
прицеп и полуприцеп	Вопрос: прицеп и полуприцеп 	 10 	 Система Управление многоквартирным домом
икры и шампанского столичному юристу	икры и шампанского столичному юристу 	 3 	 Система Юрист
трудовой кодекс особые условия	Вопрос: трудовой кодекс особые условия 	 2 	 Система Кадры
правила противопожарного режима в рф	правила противопожарного режима в рф 	 6 	 Система Охрана труда
согласие на обработку персональных данных при социальном опросе	Согласие на обработку персональных данных при социальном опросе 	 3 	 Система Юрист
присуждение компенсации бывшему мужу за его долю в доме	Присуждение компенсации бывшему мужу за его долю в доме 	 3 	 Система Юрист
об утверждении правил благоустройства территории муниципального образования город-курорт анапа	Вопрос: об утверждении правил благоустройства территории муниципального образования город-курорт анапа 	 10 	 Система Управление многоквартирным домом
ходатайство о проведении строительно-технической экспертизы	ходатайство о проведении строительно-технической экспертизы 	 14 	 Система Промбезопасность
исковое заявление к продавцу жилого дома	Вопрос: исковое заявление к продавцу жилого дома 	 3 	 Система Юрист
сим	Вопрос: сим 	 1 	 Система Бухгалтер
федеральный закон № 87-фз от 30 июня 2003	Вопрос: федеральный закон № 87-фз от 30 июня 2003 	 5 	 Система Госзаказ
отказ в смене ври	Вопрос: отказ в смене ври 	 2 	 Система Кадры
когда налоговая подаст на банкротство	Когда налоговая подаст на банкротство 	 3 	 Система Юрист
гост 5686-2020	Вопрос: гост 5686-2020 	 6 	 Система Охрана труда
ответственность за нарушение срока поставки	ответственность за нарушение срока поставки 	 3 	 Система Юрист
должностная инструкция начальника котельной	Вопрос: должностная инструкция начальника котельной 	 14 	 Система Промбезопасность
положение от 19 сентября 2014 № 431-п о правилах обязательного страхования гражданской ответственности владельцев транспортных	Вопрос: положение от 19 сентября 2014 № 431-п о правилах обязательного страхования гражданской ответственности владельцев транспортных 	 3 	 Система Юрист
одно заявление на отпуск без сохранения по основному месту и по внутреннему совместительству	Одно заявление на отпуск без сохранения по основному месту и по внутреннему совместительству 	 2 	 Система Кадры
обязаны ли усн выписывать счет-фактуру без ндс	обязаны ли усн выписывать счет-фактуру без ндс 	 1 	 Система Бухгалтер
9-367/2015	Вопрос: 9-367/2015 	 3 	 Система Юрист
620 гк рф	620 гк рф 	 3 	 Система Юрист
можно ли лицо привлечь к субсидиарной ответственности не в рамках банкротства	можно ли лицо привлечь к субсидиарной ответственности не в рамках банкротства 	 3 	 Система Юрист
п. 1 ст. 450 гк рф	п. 1 ст. 450 гк рф 	 3 	 Система Юрист
ответственность генерального директора в таблице	Вопрос: ответственность генерального директора в таблице 	 11 	 Система Генеральный директор
исчисление ндс в 2025 году по длящимся договорам	исчисление ндс в 2025 году по длящимся договорам 	 1 	 Система Бухгалтер
ходатайство о снижении неустойки	ходатайство о снижении неустойки 	 3 	 Система Юрист
гарантийный ремонт на основании экспертизы	гарантийный ремонт на основании экспертизы 	 3 	 Система Юрист
14-22 хмао-югра от 26.09.2023	Вопрос: 14-22 хмао-югра от 26.09.2023 	 6 	 Система Охрана труда
статья 30 уголовного кодекса	Вопрос: статья 30 уголовного кодекса 	 3 	 Система Юрист
ювенальная юстиция	Вопрос: ювенальная юстиция 	 3 	 Система Юрист
правила дорожного движения	Вопрос: правила дорожного движения 	 9 	 Система Культура
права потребителя	Вопрос: права потребителя 	 3 	 Система Юрист
после проведения спецоценки какой срок уведомить работников	После проведения спецоценки какой срок уведомить работников 	 6 	 Система Охрана труда
смена генерального директора ооо	Смена генерального директора ооо 	 11 	 Система Генеральный директор
заполнить м-15	Запрос: заполнить м-15 	 Номер системы: 15 	 Название системы: Госфинансы
возражение на расчет индексации присужденных судом сумм	возражение на расчет индексации присужденных судом сумм 	 3 	 Система Юрист
закон об ооо	Вопрос: закон об ооо 	 3 	 Система Юрист
жалоба на предписание	жалоба на предписание 	 3 	 Система Юрист
правовые обычаи	Вопрос: правовые обычаи 	 3 	 Система Юрист
порядок возмещения госпошлины истцом в случае вынесения определения в апелляционной инстанции в пользу ответчика заявителя жалобы	Вопрос: порядок возмещения госпошлины истцом в случае вынесения определения в апелляционной инстанции в пользу ответчика заявителя жалобы 	 3 	 Система Юрист
закон московской области № 199/2022-оз о запрете на территории московской области розничной продажи несовершеннолетним товаров, содержащих сжиженный углеводородный газ, для личных и бытовых нужд	Закон московской области № 199/2022-оз о запрете на территории московской области розничной продажи несовершеннолетним товаров, содержащих сжиженный углеводородный газ, для личных и бытовых нужд 	 3 	 Система Юрист
мчд для банка россии	мчд для банка россии 	 4 	 Система Финансист
подключение многоквартирного дома к городским системам водоснабжения	подключение многоквартирного дома к городским системам водоснабжения 	 10 	 Система Управление многоквартирным домом
гражданская ответственность генерального директора	гражданская ответственность генерального директора 	 3 	 Система Юрист
как признать законным собрание кредиторов в банкротстве	как признать законным собрание кредиторов в банкротстве 	 3 	 Система Юрист
пятиуровневая система документов	Вопрос: пятиуровневая система документов 	 1 	 Система Бухгалтер
нотариальное удостоверение решения осу о назначении еио при создании ооо	Вопрос: нотариальное удостоверение решения осу о назначении еио при создании ооо 	 3 	 Система Юрист
потребитель	Вопрос: потребитель 	 11 	 Система Генеральный директор
форма годового отчета ао	Вопрос: форма годового отчета ао 	 1 	 Система Бухгалтер
срок оплаты товара привязан к нескольким событиям	Вопрос: срок оплаты товара привязан к нескольким событиям 	 12 	 Система Продажи
доверенность на представительство на общем собрании акционеров	доверенность на представительство на общем собрании акционеров 	 3 	 Система Юрист
может ли арендатор по усн с 1 января 2025 года пересмотреть стоимость аренды, увеличить ее на сумму ндс?	может ли арендатор по усн с 1 января 2025 года пересмотреть стоимость аренды, увеличить ее на сумму ндс? 	 3 	 Система Юрист
вступление в силу решения суда если подана и отозвана апелляционная жалоба	Вопрос: вступление в силу решения суда если подана и отозвана апелляционная жалоба 	 3 	 Система Юрист
протокола ао об изменении оквэд	протокола ао об изменении оквэд 	 3 	 Система Юрист
транспортная компания привезла побитое оборудование и покупатель отказался его принимать	Вопрос: транспортная компания привезла побитое оборудование и покупатель отказался его принимать 	 3 	 Система Юрист
охранник дворник	Вопрос: охранник дворник 	 6 	 Система Охрана труда
ретро оговорка	Вопрос: ретро оговорка 	 3 	 Система Юрист
недействительное условие о переходе риска гибели предмета лизинга	недействительное условие о переходе риска гибели предмета лизинга 	 3 	 Система Юрист
314 гк рф	Вопрос: 314 гк рф 	 3 	 Система Юрист
ходатайство об увеличении исковых требований	ходатайство об увеличении исковых требований 	 3 	 Система Юрист
расходы на транспортные услуги	Расходы на транспортные услуги 	 1 	 Система Бухгалтер
закрытие суммы аванса по договору подряда	закрытие суммы аванса по договору подряда 	 3 	 Система Юрист
как проводить собеседование	как проводить собеседование 	 2 	 Система Кадры
контракт на поставку товара по 44-фз для сельских поселений	контракт на поставку товара по 44-фз для сельских поселений 	 5 	 Система Госзаказ
ст. 149 гнк рф	ст. 149 гнк рф 	 1 	 Система Бухгалтер
прекращение регистрации автомобиля из-за аннулирования эптс	Вопрос: прекращение регистрации автомобиля из-за аннулирования эптс 	 3 	 Система Юрист
должностная инструкция ведущего юрисконсульта	Вопрос: должностная инструкция ведущего юрисконсульта 	 3 	 Система Юрист
закон об лицензировании производства лекарст	закон об лицензировании производства лекарств 	 8 	 Система Медицина
валидация и верификация парниковых газов	Вопрос: валидация и верификация парниковых газов 	 13 	 Система Экология
обслуживание потребителей	Обслуживание потребителей 	 12 	 Система Продажи
независимая гарантия для мсп	Вопрос: независимая гарантия для мсп 	 3 	 Система Юрист
чем отличается регистрация программы для эвм в фипс от включения в реестр российского по	Вопрос: чем отличается регистрация программы для эвм в фипс от включения в реестр российского 	 3 	 Система Юрист
грузовой прицеп	Вопрос: грузовой прицеп 	 10 	 Система Управление многоквартирным домом
договор на полную материальную ответственность	договор на полную материальную ответственность 	 3 	 Система Юрист
договор на проектирование существенные условия	договор на проектирование существенные условия 	 3 	 Система Юрист
уведомление о расторжении договора	уведомление о расторжении договора 	 3 	 Система Юрист
прекращение исполнительного производства по заявлению должника	прекращение исполнительного производства по заявлению должника 	 3 	 Система Юрист
цифровой рубль	Вопрос: цифровой рубль 	 11 	 Система Генеральный директор
мое обучение	Вопрос: мое обучение 	 7 	 Система Образование
лишение директора премии	лишение директора премии 	 3 	 Система Юрист
а65-20907/2023	Вопрос: а65-20907/2023 	 3 	 Система Юрист
гост 31937-2011	гост 31937-2011 	 6 	 Система Охрана труда
договор мены	договор мены 	 3 	 Система Юрист
отвечает ли поставщик за недостатки товара, если покупатель самостоятельно пытался устранить эти недостатки	Вопрос: отвечает ли поставщик за недостатки товара, если покупатель самостоятельно пытался устранить эти недостатки 	 3 	 Система Юрист
постановление от 29.06.2021 № 1051	постановление от 29.06.2021 № 1051 	 3 	 Система Юрист
журнал движения трудовых книжек	Журнал движения трудовых книжек 	 2 	 Система Кадры
протокол о создании некоммерческой организации	протокол о создании некоммерческой организации 	 3 	 Система Юрист
установленный уровень облучения - 5 мзв в год	Вопрос: установленный уровень облучения - 5 мзв в год 	 8 	 Система Медицина
можно ли наставничество заменить дублирование, стажировку в электроэнергетике	Вопрос: можно ли наставничество заменить дублирование, стажировку в электроэнергетике 	 14 	 Система Промбезопасность
недвижимость и строительство: итоговый обзор новостей за 2024 год	Вопрос: недвижимость и строительство: итоговый обзор новостей за 2024 год 	 10 	 Система Управление многоквартирным домом
так, спорный договор заключен между сторонами 12.01.2022, согласно которого ооо барнаульский автоцентр камаз приняло на себя обязательство продать покупателю ооо моквин автосамосвал камаз	Вопрос: так, спорный договор заключен между сторонами 12.01.2022, согласно которого ооо барнаульский автоцентр камаз приняло на себя обязательство продать покупателю ооо моквин автосамосвал камаз 	 3 	 Система Юрист
постановление № 1376	постановление № 1376 	 5 	 Система Госзаказ
может ли потерпевший отказаться на суде от мирового соглашения, если до суда он был согласен	Вопрос: может ли потерпевший отказаться на суде от мирового соглашения, если до суда он был согласен 	 3 	 Система Юрист
губернаторская доплата инвалидам хмао	Вопрос: губернаторская доплата инвалидам хмао 	 3 	 Система Юрист
предупреждение преступлений	предупреждение преступлений 	 3 	 Система Юрист
можно ли справку об оплате медицинских услуг для предоставления в налоговый орган отправить по электронной почте налогоплательщику	можно ли справку об оплате медицинских услуг для предоставления в налоговый орган отправить по электронной почте налогоплательщику 	 8 	 Система Медицина
стороны претензий не имеют	Система Юрист 	 3 	 Система Юрист
решение краснодарского уфас от 24.10.2024	Вопрос: решение краснодарского уфас от 24.10.2024 	 5 	 Система Госзаказ
скриншот как доказательство	Вопрос: скриншот как доказательство 	 3 	 Система Юрист
сальдо встречных обязательств гибель предмета лизинга	Система Финансист 	 4 	 Система Финансист
вознаграждение экспедитора	вознаграждение экспедитора 	 2 	 Система Кадры
протокол собрания участников несогласие с передачей доли наслоеднику	Протокол собрания участников несогласие с передачей доли наслоеднику 	 3 	 Система Юрист
постановления правительства рф от 28.01.2006 n 47, закрепляющего порядок признания садового дома жилым	Вопрос: постановления правительства рф от 28.01.2006 n 47, закрепляющего порядок признания садового дома жилым 	 11 	 Система Генеральный директор
протокол общего собрания участников	протокол общего собрания участников 	 3 	 Система Юрист
заявление в полицию	заявление в полицию 	 3 	 Система Юрист
письмо-уведомление об одностороннем отказе заказчика от исполнения договора возмездного оказания услуг (в порядке ст. 782 гк)	письмо-уведомление об одностороннем отказе заказчика от исполнения договора возмездного оказания услуг (в порядке ст. 782 гк) 	 3 	 Система Юрист
нужно ли проходить всем сотрудникам охрану труда	нужно ли проходить всем сотрудникам охрану труда 	 6 	 Система Охрана труда
как направить требование о вскрытии банковской гарантии иностранный банк	как направить требование о вскрытии банковской гарантии иностранный банк 	 3 	 Система Юрист
учредительный договор между физическими лицами	учредительный договор между физическими лицами 	 3 	 Система Юрист
апелляционном определении свердловского областного суда от 14.01.2021 по делу n 33-48/2021, 33-15605/2020	апелляционном определении свердловского областного суда от 14.01.2021 по делу n 33-48/2021, 33-15605/2020 	 3 	 Система Юрист
приказ мвд	Приказ МВД 	 3 	 Система Юрист
как согласовывать с отделами договор	как согласовывать с отделами договор 	 3 	 Система Юрист
ндс 5%	Вопрос: ндс 5% 	 1 	 Система Бухгалтер
убытки или ущерб	Вопрос: убытки или ущерб 	 3 	 Система Юрист
если покупатель самостоятельно пытался устранить эти недостатки	Вопрос: если покупатель самостоятельно пытался устранить эти недостатки 	 3 	 Система Юрист
согласие на рассылку рекламных материалов	Вопрос: согласие на рассылку рекламных материалов 	 11 	 Система Генеральный директор
образец служебной записки о необходимости создании офиса	Вопрос: образец служебной записки о необходимости создании офиса 	 11 	 Система Генеральный директор
номинальный счет	Вопрос: номинальный счет 	 1 	 Система Бухгалтер
работник отказался от медицинского осмотра	Работник отказался от медицинского осмотра 	 8 	 Система Медицина
участие в онлайн заседании арбитражного суда	участие в онлайн заседании арбитражного суда 	 3 	 Система Юрист
оказание образовательных услуг без лицензии судебное дело	оказание образовательных услуг без лицензии судебное дело 	 3 	 Система Юрист
рд 34.21.122-87	Вопрос: рд 34.21.122-87 	 6 	 Система Охрана труда
https://e.law.ru/772855	Вопрос: https://e.law.ru/772855 	 3 	 Система Юрист
возражения в арбитражный суд на ходатайство о назначении судебной экспертизы	возражения в арбитражный суд на ходатайство о назначении судебной экспертизы 	 3 	 Система Юрист
пластиковые трубы запрещены при подключении отопления	пластиковые трубы запрещены при подключении отопления 	 14 	 Система Промбезопасность
как регистрируется переход права собственности по договор дду. нужен ли акт	как регистрируется переход права собственности по договор дду. нужен ли акт 	 3 	 Система Юрист
директор, который обязан подавать декларацию о доходах принимает на работу племянника принимать	директор, который обязан подавать декларацию о доходах принимает на работу племянника 	 2 	 Система Кадры
александр коновалов	Вопрос: александр коновалов 	 2 	 Система Кадры
устав службы на судне	Вопрос: устав службы на судне 	 3 	 Система Юрист
максимальный срок аренды земли	максимальный срок аренды земли 	 3 	 Система Юрист
какие документы необходимо потребовать для подписания договора с прачечной на стирку спецодежды лпу? источник:	какие документы необходимо потребовать для подписания договора с прачечной на стирку спецодежды лпу? 	 3 	 Система Юрист
если стороны заключают договор в период действия санкций. это не является форс-мажором. как прописать в договоре условие о том, что если санкции не позволят выполнить договор своевременно, то	Вопрос: если стороны заключают договор в период действия санкций. это не является форс-мажором. как прописать в договоре условие о том, что если санкции не позволят выполнить договор своевременно, то 	 3 	 Система Юрист
постановление правительства 1852	Вопрос: постановление правительства 1852 	 5 	 Система Госзаказ
письмо об удержании обеспечительного платежа	письмо об удержании обеспечительного платежа 	 3 	 Система Юрист
как заставить покупателя маломерного судна зарегистрировать его в реестре маломерных судов на свое имя?	Как заставить покупателя маломерного судна зарегистрировать его в реестре маломерных судов на свое имя? 	 3 	 Система Юрист
алгоритм обслуживания потребителей	Вопрос: алгоритм обслуживания потребителей 	 11 	 Система Генеральный директор
элитоптторг раевка	Вопрос: элитоптторг раевка 	 11 	 Система Генеральный директор
постановление президиума вас рф от 23.01.2002 № 7103/01	постановление президиума вас рф от 23.01.2002 № 7103/01 	 3 	 Система Юрист
федерального закона от 29 апреля 2008 n 57-фз о порядке осуществления иностранных инвестиций в хозяйственные общества, имеющие стратегическое значение для обеспечения обороны страны и	Вопрос: федерального закона от 29 апреля 2008 n 57-фз о порядке осуществления иностранных инвестиций в хозяйственные общества, имеющие стратегическое значение для обеспечения обороны страны и 	 3 	 Система Юрист
производительность труда при сокращении	Вопрос: производительность труда при сокращении 	 2 	 Система Кадры
подписание посредством эдо	Подписание посредством ЭДО 	 1 	 Система Бухгалтер
дарение дочеринедвижимости	Вопрос: дарение дочеринедвижимости 	 3 	 Система Юрист
закон о государственных и муниципальных унитарных предприятиях № 161	закон о государственных и муниципальных унитарных предприятиях № 161 	 15 	 Система Госфинансы
при увольнении и повторном приеме на работу в ту же организацию расчет отпускных производится в общем порядке	При увольнении и повторном приеме на работу в ту же организацию расчет отпускных производится в общем порядке 	 2 	 Система Кадры
фз-220	фз-220 	 5 	 Система Госзаказ
количество дней просрочки как правильно считать	Количество дней просрочки как правильно считать 	 4 	 Система Финансист
заключили договор поставки с поставщиком, который не является собственником продаваемого товара. какие риски для покупателя?	Заключили договор поставки с поставщиком, который не является собственником продаваемого товара. Какие риски для покупателя? 	 3 	 Система Юрист
безотзывное поручение	Вопрос: безотзывное поручение 	 3 	 Система Юрист
день увольнения полный ?	день увольнения полный ? 	 2 	 Система Кадры
ходатайство о	Вопрос: ходатайство о 	 3 	 Система Юрист
должностная инструкция директора по управлению персоналом	Вопрос: должностная инструкция директора по управлению персоналом 	 2 	 Система Кадры
трудовой договор на создание селекционного достижения	Вопрос: трудовой договор на создание селекционного достижения 	 2 	 Система Кадры
заполнить р13014 о выходе из нконда	Запрос: заполнить р13014 о выходе из нконда 	 Номер системы: 2 	 Название системы: Система Кадры
апелляционная жалоба апк	апелляционная жалоба апк 	 3 	 Система Юрист
поставка неисключительных прав на программное обеспечение, зарегистрированное в реестре отечественного по с ндс	Вопрос: поставка неисключительных прав на программное обеспечение, зарегистрированное в реестре отечественного по с ндс 	 3 	 Система Юрист
оговорка в акте об отсутствии претензий к срокам	Оговорка в акте об отсутствии претензий к срокам 	 3 	 Система Юрист
лицо, соответствующее требованиям о допуске к педагогической деятельности	Вопрос: лицо, соответствующее требованиям о допуске к педагогической деятельности 	 7 	 Система Образование
приватизация жилого дома	приватизация жилого дома 	 10 	 Система Управление многоквартирным домом
заключение совета директоров по сделке с заинтересованностью	заключение совета директоров по сделке с заинтересованностью 	 3 	 Система Юрист
73-фз федеральный закон о государственной судебно-экспертной деятельности	Вопрос: 73-фз федеральный закон о государственной судебно-экспертной деятельности 	 3 	 Система Юрист
сдача отчетности в сфр по гражданско-правовым договорам	Сдача отчетности в сфр по гражданско-правовым договорам 	 3 	 Система Юрист
если поставщик привез не те детали и сделал возврат и привез детали дороже	Вопрос: если поставщик привез не те детали и сделал возврат и привез детали дороже 	 2 	 Система Кадры
